Orthogroup,GeneID,AH1,AH2,AH3,AH4,AH5,AH6,AH7,AH8,AH9
OG0009959,Montipora_capitata_HIv3___RNAseq.g46219.t1,7.270932177136592,7.275925296892937,7.262389955211468,7.319976615852687,7.210071966258752,7.227610478053108,7.083828403326093,7.037890174706633,7.05333087188055
OG0009960,Montipora_capitata_HIv3___TS.g43280.t1,5.806523971864793,5.857904166518272,5.848759010849941,5.630738812600107,5.570696857459775,5.625018559664019,4.504157675836085,4.739515822426598,5.328970757877494
OG0009961,Montipora_capitata_HIv3___RNAseq.g49555.t1,6.015527406271712,6.187000604207656,6.477342565915177,6.134815943119178,6.444678956157538,6.20233235555815,6.1199951633693175,5.916696239533245,5.774519063941149
OG0009962,Montipora_capitata_HIv3___RNAseq.45836_t,1.5930698184397407,1.7673875186775951,1.5572864625148242,1.9558312148459471,1.3830273424193331,1.6743587315780029,2.5182114891643943,3.7651740238349247,3.2618651099361924
OG0009963,Montipora_capitata_HIv3___TS.g28849.t1,6.955096460781824,6.944580249308451,6.89701145308012,7.002027799868111,7.044107634356445,7.011353856923607,6.079232411750709,6.136146191303635,6.461912719920736
OG0009964,Montipora_capitata_HIv3___RNAseq.g36894.t1,6.022662550360636,5.939557873944645,5.950990553904471,5.873277026801928,5.958465597719329,5.909370836075782,4.494478347867396,4.437642969777281,4.852135064609263
OG0009965,Montipora_capitata_HIv3___RNAseq.g31324.t1,4.430544310664514,4.496037991343716,4.551028221176843,4.264528555912195,4.55386336092083,4.300949783534868,5.468819915584827,5.712719021874783,5.548419912766405
OG0009966,Montipora_capitata_HIv3___RNAseq.g14600.t1b,4.847748686213801,4.750452858258628,4.706337241239445,4.696202174364123,4.625257761584745,4.665657277963698,3.9694145223432846,4.462302571810537,4.648389006603095
OG0009967,Montipora_capitata_HIv3___RNAseq.g42104.t1,5.891853085526653,5.8207614557999285,5.809621457008776,5.902207617858214,6.052615806381723,5.958603657605265,5.886001649657623,5.830452255720351,5.226002177345322
OG0009968,Montipora_capitata_HIv3___RNAseq.g45967.t1,0.7330643767205963,0.7646820555009815,0.8216122343046529,0.4929078526916453,0.9035664143730204,0.7938238799351812,1.87634692694785,2.178828539476145,1.3339744002611704
OG0009969,Montipora_capitata_HIv3___TS.g47491.t1a,4.326774458473869,4.3883686747507085,4.3133311640332535,4.465990682769561,4.4398746177879405,4.335104998757417,4.35207351032675,4.615756004761329,4.463484312481181
OG0009970,Montipora_capitata_HIv3___TS.g15743.t1,4.048141998617022,3.979218408469595,3.9987389532741857,4.241760989254104,4.103156254853716,3.933810713652613,2.160543277463294,2.2907342871798857,3.5018025492047524
OG0009971,Montipora_capitata_HIv3___RNAseq.g18575.t1,0.23997480328176884,0.18620586062943875,0.2862686250108197,0.3289980009208673,0.4521691997872922,0.3506029718592057,1.4087200475845565,1.5845007254270336,1.2875714088368495
