Orthogroup,GeneID,DRR318288,DRR318289,DRR318291,DRR318293,DRR318294,DRR318295,DRR318297,DRR318298,DRR318299
OG0008769,aten_0.1.m1.36602,2.6626514226200837,2.390360292361705,1.867494254134145,1.8788772454621796,1.604553291208128,2.6511925749366743,0.3967296428220984,0.5166872424685263,0.1893960729391077
OG0008770,aten_0.1.m1.16902,7.991358908602519,7.9072498219565714,7.846082376833735,7.616282794363061,7.56160342691443,7.640464330522667,8.103896725614254,7.792370198598381,7.894028776284286
OG0008771,aten_0.1.m1.21632,5.445915951208883,5.767181064017299,4.933713626280582,5.258405546645713,5.393523466200407,5.281798670346461,4.76902354281704,4.682203580458931,4.7077363214928605
OG0008772,aten_0.1.m1.28854,5.173512002455098,5.234388433264706,5.216703147979264,4.696604335530431,4.727245553122924,4.931308025112583,4.9164593247619575,5.028109872848822,5.457802114160357
OG0008773,aten_0.1.m1.9224,4.9711722937400324,4.400476335340283,4.6216988080256,4.481016985369113,4.316893932770445,4.334704846853577,3.5090831167434113,3.6258425229324858,3.621174538021365
OG0008774,aten_0.1.m1.30206,2.651348576699895,2.7162811398131095,2.210772396871354,1.9292531451130597,1.3131051689617936,1.64449213219256,1.597449423575833,1.9317623167093931,1.39934672487292
OG0008775,aten_0.1.m1.20157,4.720133439086942,4.889109140074879,5.249436497342494,5.132695399505541,5.259163293624915,4.980500149010038,6.370898931778504,6.305958548242835,6.32342967864591
OG0008776,aten_0.1.m1.20850,5.057465884342897,5.07322851664632,4.758853413722175,3.320685513158961,3.2665671111108243,3.3074046186718693,5.175692205335787,4.875073959988085,4.865008983485945
OG0008777,aten_0.1.m1.11024,5.961930494063445,5.855988140070564,6.364160228106242,6.185392409481886,6.306907232940838,6.343398537625576,6.580928085564534,6.024267697216809,5.588869721143434
OG0008778,aten_0.1.m1.19759,5.483433456640565,5.575355130219272,5.691376977448554,5.024564235521285,5.044177766677442,5.32457853281869,4.375233393835373,4.189284124293457,4.082994315705289
OG0008779,aten_0.1.m1.4493,6.432896358257379,6.678268418227706,6.143281743618182,6.026757853995148,6.595694584707071,6.015792636663609,5.272595630935475,5.512704978499263,5.337408227850088
