Orthogroup,GeneID,SRR14333319,SRR14333320,SRR14333321,SRR14333322,SRR14333323,SRR14333324,SRR14333325,SRR14333326,SRR14333327
OG0011100,SpisGene8474,5.971832957129727,5.20565966548118,4.578955844422073,4.795367612871579,6.682395104389856,7.657661217084565,5.637420692085305,9.047342044315284,7.395528189387607
OG0011101,SpisGene16322,1.332808948203,1.3764813696967275,1.4291511373108283,0,1.103310908802419,1.2635274461271062,0.5517451735539745,0.6790030017772576,0.6238981420723034
OG0011102,SpisGene2825,6.267697059374824,6.431508184380593,5.760728581168272,1.9068533112964297,2.864009189244865,3.846276225242046,3.298903276970918,4.264524510389621,4.635522436880114
OG0011103,SpisGene11023,0,0,0,0.26114106426118666,0,0.2607322153994077,0,0,0
OG0011104,SpisGene3939,4.12733869313159,4.86566515971271,5.189926521918497,2.5805139940086588,2.557158371828833,3.645192076859219,2.188818557124561,0.9573412316696857,2.3068783750745463
OG0011105,SpisGene15706,4.776452102317771,5.0253037424050016,4.679911797432573,5.336568001274435,3.651823752851111,4.470336136136164,4.845443083913649,5.071561869105189,4.396874546375946
OG0011106,SpisGene13339,4.389429723296147,4.648619581718179,4.676337170202133,3.762346859119138,3.922700071821215,5.312511006392359,3.6663673055942825,3.743705142630832,3.4781868993088967
OG0011107,SpisGene6954,5.306293608233686,5.78911420278707,6.004961407712496,7.205907584532371,7.32522119222484,6.92232752159944,4.8397395993729315,4.955990993951401,4.663112465960046
OG0011108,SpisGene6199,4.026770240861558,3.816697683332808,3.788135999890869,5.260710264410825,5.968615981352738,5.6205721181942225,3.444847161662763,3.5843694443933027,3.229151041464761
OG0011109,SpisGene9204,3.733617447727184,3.916111557780824,4.091986849204989,0.9765477573384608,1.6243822335872962,2.2799433186572826,1.1257677563143118,0.5991229863413297,1.6505282148469904
OG0011110,SpisGene5816,2.557535993055828,2.439024768567675,2.5084832401293498,0,1.6986836386544628,1.8663801588179252,0,0,0
OG0011111,SpisGene16259,4.727946606056426,4.686946114406268,4.304051330825103,2.758245052820266,0,2.6037628680297376,3.207778308811627,2.320466273783562,3.207644909904806
OG0011112,SpisGene7233,3.150378041121747,3.3244810849012696,3.4882435784177175,1.402079632331484,1.9990120575708856,2.07619824604585,1.5596086355921877,0.920755590795462,1.2307424447342694
OG0011113,SpisGene21496,4.451405682364237,4.095533242546904,4.175423026123923,5.03893461941124,6.971240573974328,4.852252333372294,3.9656905242100087,6.140743310690325,3.9592117908846287
OG0011114,SpisGene16673,3.872340421982704,4.706259381533712,4.2397756383077425,2.071992890364665,2.0152331890369464,1.83792510951138,3.036385927002504,0.8707422862156834,1.8657231096356743
OG0011115,SpisGene15296,4.608000008296131,5.307221872138455,3.73579319835359,0,2.3532154166446517,5.164319338581182,4.365920385490655,6.11761819994826,4.653412222156486
OG0011116,SpisGene12811,6.5552642850244585,6.102379596616053,5.5089031466591,4.44759457823225,7.861390248144885,8.308686528067474,6.135277449188797,8.365510621445077,7.847620459549336
OG0011117,SpisGene12778,0.8594917694217818,0.9493386762595656,1.141881367880656,0.6885853812621264,0.8383358867174528,1.3698314113268748,0.5466486998934821,0,0.363839384255838
OG0011118,SpisGene1284,6.5593285155585574,6.592793180228507,6.93881461214677,8.629394488970558,8.162205587319573,7.986641053433326,7.594144286138183,6.9144583831931,7.404088261511403
OG0011119,SpisGene15200,5.373773245696589,5.644144834666823,6.117297985916044,6.016166713518257,6.420954028862244,5.154434172104054,4.0588668857475385,4.925645319693904,3.6467464849029305
OG0011120,SpisGene13239,3.707293092679726,4.160553803533468,4.185240295713072,3.75455374185568,3.156160093201869,2.6856962419468324,2.816550903703882,2.821726586189274,2.8069660879200735
OG0011122,SpisGene9314,4.520129165481202,4.878442817652388,5.017061356521874,3.179726072658343,4.43002808727805,4.331494637701031,2.0392530567799843,1.4378503292994498,1.3440029950394048
OG0011123,SpisGene1069,4.962931676087994,4.418468975633963,4.351567861018864,3.567966504349441,3.033651186586761,4.441827120134442,4.144219108639431,3.3458308376578705,3.1711578614500233
OG0011124,SpisGene906,3.649221265625632,3.824591027180424,3.912142584883664,1.817826913571093,3.0776508320568303,3.742246149260017,2.9327830109179884,1.8443528055097709,1.8539850792664112
OG0011125,SpisGene7523,3.176849530028592,3.7248526047687487,3.954960442298312,0.7214645997028137,1.4624252026359403,1.3836299994126116,1.8218585261905569,1.5648497884804564,1.8633731679143053
OG0011126,SpisGene14663,2.951151372175852,4.299256683985782,3.659067842124556,0,0,1.6049242113770084,0,0.9394266633493286,1.598278156634787
OG0011127,SpisGene22990,2.4987597447706675,2.905062818964246,2.676898407897432,2.0100182556522252,1.978120314459596,4.602879243084024,3.1783567184567434,2.7958019234123417,3.989583241961379
OG0011128,SpisGene14319,4.262406591759156,4.024182029907944,4.468286998835895,5.96409060956165,5.385394177190571,4.739651259432099,3.3657968200605985,3.1165198624686306,3.2120340837722217
OG0011129,SpisGene6387,4.213740308981825,4.519530105840834,5.005872991244581,2.597536115752172,3.961634500065772,4.547735132733663,3.4811780148280125,2.9411147562344917,3.074600442767707
OG0011130,SpisGene4267,4.471538395149331,4.76002427777243,5.069069670023724,4.005924784557233,5.143593877782474,4.85683937208695,3.3481416171895124,2.910129587464439,3.141955608674995
OG0011131,SpisGene13396,3.8391820340082665,3.2133685244762846,3.46807486199507,1.5196076459496706,2.446161412275035,1.7100277600334546,0,0,1.389443557182297
OG0011132,SpisGene17523,3.563846345495641,3.5161813468441463,3.3166755566658903,3.3732813784248012,3.349551469670445,3.798685757785368,3.6814948188069767,3.155990775938261,3.434848139268864
OG0011133,SpisGene14549,5.75097699586556,5.494452691793021,5.060489879407228,4.776582564147289,7.75348471072645,7.866901539107749,6.397558856016856,9.468557956624592,8.176932179562835
OG0011134,SpisGene15915,3.9089554417581542,3.805034814935753,4.469752651019133,5.191048156398887,7.02517945971467,5.328604315970231,2.488525868740195,3.138919221095295,2.7113425008386285
OG0011135,SpisGene22752,6.434683540426002,6.055303443575368,6.143132145909791,6.771907489571413,5.043891564285359,5.712252193727056,6.220752807416791,4.510129756529237,5.109067841307754
OG0011136,SpisGene53,6.273003066876181,5.941926015703444,6.289192888599707,7.233038977975756,6.790193825517294,7.187709483177186,4.852448242557525,5.400784679812153,5.31804857459066
OG0011137,SpisGene4675,3.4515424227969635,3.59479306655741,3.3157826958876764,2.2699633121581795,4.341791565618653,4.776987335849602,1.7489915004196308,2.173437729058367,2.052411436156815
OG0011138,SpisGene4736,8.998854400387597,8.668304218618042,8.78363157252892,7.926422128678597,8.241609094940925,8.336133491601835,8.645599706063226,10.142760761626562,8.832733622029345
OG0011139,SpisGene20269,2.2830898105605084,2.5623275402247803,2.4433943340329622,0.5787379088002724,1.513871673202844,1.6522496966798372,0,0,0
OG0011140,SpisGene18899,10.7403651284175,10.617179340141297,10.104075271018653,9.31778777956045,8.873162320754536,9.36095805443794,8.425991351721446,9.897029688111363,9.264736040037011
OG0011141,SpisGene20619,4.5358248215778945,2.9402222763292025,4.325679722222235,2.3531508520718676,1.396275299407026,2.674538187286258,1.9973424363370296,1.3687353976900842,1.981110115698816
OG0011142,SpisGene299,4.344854218078548,4.8028701090433135,4.764336486066441,2.2067647314854284,3.5168367583414692,4.525469083094477,3.3941758558040003,4.141725758886288,3.530160769521659
OG0011143,SpisGene15965,2.215406513122724,1.4783926370491969,2.7087418247726034,0,0,0,0,0,0
OG0011144,SpisGene7597,2.0192731383522444,2.2025832582201064,2.6646204527083555,2.673309188448656,2.346466004498051,3.7478795950442394,2.5901158707965424,2.051287370267691,1.6689749054082337
OG0011145,SpisGene12837,11.910676392223191,11.415056130599789,11.677755033669907,11.597757106376609,11.377025492655672,12.074947412808571,12.552689397272507,11.22662383974653,12.233447128665704
OG0011146,SpisGene18262,6.853622424078703,7.133282284183488,7.105862515579642,4.3236150991796585,3.3983938421469224,6.323493894014134,4.033929326118495,5.8482059129528245,5.939391349601034
OG0011147,SpisGene10792,8.122643074286911,8.516302873752608,8.697645283201807,8.18920415334487,7.940807631961331,9.267216744471414,7.656104671674369,9.723613089321818,8.44902213002673
OG0011148,SpisGene4915,3.7127707210362058,3.5878006647078275,3.931550853452717,2.888815904317689,1.8256436767690165,2.9364933398214377,2.673246060956493,2.926570509525422,3.1343913904684566
OG0011149,SpisGene4371,3.810842410029115,4.166803644822867,3.8488336639227354,2.2763035626152734,3.050037189891281,4.005029544782755,2.875539567356882,2.466815704764985,3.203103028165076
OG0011151,SpisGene6218,3.7621536018311033,4.248621640043098,4.149978306489627,1.8979274326614384,2.5092433866039774,3.8463625930806975,2.226540456684109,1.477343354572097,2.6754014335278034
OG0011152,SpisGene15102,5.050305547989963,5.479302748343015,5.004659454225331,4.208373666654231,5.623008465359687,6.549523241426143,3.430873876454813,3.238363627868615,3.5361099126012707
OG0011153,SpisGene18380,5.015832221416859,5.269270439275348,5.36179290381316,5.506357042103744,5.073630678298345,5.154735655063725,5.065797073894122,5.347787609375314,5.07906882092609
OG0011154,SpisGene5303,5.859323613297873,5.19112875194852,4.982606354865083,5.200750813438784,5.8285021499984815,7.494883659069448,6.474912624205511,8.403596439635031,7.688288938699141
OG0011155,SpisGene9422,2.828095091657872,2.437597078483855,2.1490381867009107,2.604824709329416,2.7724428215515653,2.8763884494599288,1.7745439487665338,1.8722677457752304,1.978138229179008
OG0011156,SpisGene11007,2.841042051778854,2.7866670233382593,3.3575117863000896,0.988416000851534,2.175537560055762,3.064781328632152,0.6109897190393256,0,0
OG0011157,SpisGene17055,3.959372430252768,4.172135494819868,4.197426846886442,3.321909362735757,3.814864184575027,3.846035931617109,3.2405334474183114,3.6623127378451312,3.742070255814244
OG0011158,SpisGene2273,1.8492629153722728,2.267311809312377,2.4648750860624595,1.7967092523688597,2.693599250713623,2.4409395945641204,0.6914561238911279,0,1.471541399481197
OG0011159,SpisGene12539,3.5934870103767436,3.888251106208562,3.8924017131686632,3.1460923747681533,3.1088003883250783,3.014524075755853,2.343380650837753,2.5175246432129788,2.322741597291274
OG0011160,SpisGene8478,4.865833472862492,5.102653887851163,5.27925178771715,4.660417843925509,2.420351950650201,3.2368505105315943,3.3211516938441368,1.260373763271616,2.8670228910271045
OG0011161,SpisGene5728,4.241275283278187,4.33720639341806,4.597213057857985,3.962142025298793,3.056203677325996,4.584390509667515,3.965933767359589,3.864269533414424,4.086031975616328
OG0011162,SpisGene16055,4.518583939743943,4.712938492713522,4.718588611265951,3.757941167276,4.54938089280672,4.416303316981689,2.932415399807247,2.259468464364462,2.652796900633797
OG0011163,SpisGene6809,9.611302311871064,9.693821838318131,9.3592568517533,10.40096209673522,9.602419278439012,9.896133304329458,10.17599795414317,11.072754185103715,10.60857562131103
OG0011164,SpisGene6241,4.586859775320951,5.674829188762086,4.983011946968717,4.461427348613053,4.917639369582285,5.521633833143949,4.585896657652562,4.754882164185836,4.473118812124147
OG0011167,SpisGene5523,6.0162132286057055,5.374637566769497,5.143621059636309,4.405269127020845,4.4291969480614,4.572923964766364,3.1557896342777583,3.6837708200116817,3.2558538371467822
OG0011168,SpisGene18760,5.602986834282551,5.7749731565032,5.498162166275031,5.443401519473975,5.75255652215257,5.871522114392006,5.938725724110649,5.520156490714077,5.72260680381403
OG0011169,SpisGene5701,7.548680479988852,8.0494277787754,8.117204657279364,6.58366795277733,7.612931048833956,7.465322393913852,6.922314148701684,7.314107714803879,6.656902239326928
OG0011170,SpisGene3687,3.243290270400385,3.197851077688304,3.4198798783492212,4.934858144660968,5.430072061803444,5.87583345205024,3.758878898883399,3.793147532143882,4.130760634440697
OG0011171,SpisGene9425,2.0813606980914727,2.247934486006676,1.8891726142833665,0,4.3920628370000605,1.7055874202628485,0,0.7464975939229448,0
OG0011172,SpisGene5340,3.5582000727525016,3.879022221491613,3.9827327786968665,4.099907830984769,4.494730399452596,4.1592831331612725,2.4014407929088297,2.301360227027484,2.080458310274411
OG0011173,SpisGene9686,5.492379049579088,5.710524925817257,5.747311064470496,5.2977392894721875,5.500642734286729,5.276512658705286,3.870904444624558,5.470524398548767,4.575263631206513
OG0011174,SpisGene1457,7.703160551842001,7.180982759105297,7.401443156769603,7.174839201667122,6.2631108072283235,7.331750262813782,7.958418523490477,7.676448820053382,7.904117263895746
OG0011175,SpisGene5501,5.831852675141762,6.269165946911362,6.3769655209420355,4.535087792185631,4.965062173542231,4.973467129335651,4.673519896136703,5.225734314519778,5.318751979075315
OG0011176,SpisGene15950,3.86688394482108,4.291440702061177,3.767358489612908,1.6491715247929608,4.486647504916687,5.246108468416782,2.853670797400318,4.5295567351352535,3.977626173778694
OG0011177,SpisGene921,6.17992564017174,6.44754164661809,6.386137825956344,7.508973207541076,6.159730818071252,6.391046742949525,5.8392997765809795,6.544483217494165,5.555093057427951
OG0011178,SpisGene6510,4.450874051455595,4.629654709416964,5.455774389933453,2.7014864872089026,4.55062707474955,4.2070854686467705,2.4083496400859827,3.3557474049695353,2.4338951496865553
OG0011179,SpisGene1744,3.9846050031718456,3.814407940737537,4.03166573262879,3.956581162017321,6.297582735926233,6.408812771608651,3.701176941929328,3.985964936708013,4.071540282537059
OG0011180,SpisGene13858,3.1947787226385356,3.2618715289029305,3.65500128119763,1.7642269821341674,2.7552877565933582,3.031827843773472,1.098782284416974,0,0
OG0011181,SpisGene22003,6.546885137915894,6.463743878217202,6.540867993717709,6.536879693922674,7.195975217313017,7.176557651358669,6.275658717490885,7.973328876728921,6.892861120119823
OG0011182,SpisGene5064,6.2171966909191125,6.253274250106278,6.568691306843963,7.144264200569468,6.619237635931014,7.339208933187477,5.623893480195313,6.496094307280847,6.281622090904996
OG0011183,SpisGene1505,2.605485876829835,2.580890571425207,2.7504877343476837,1.0749086169505058,1.583927625919325,2.018087272881421,0.8972713556342484,0.3068326700606288,0.9051334915108769
OG0011185,SpisGene8483,3.299737472434761,3.388378765055162,4.054656322259208,2.6194019359599245,1.8917309565429543,3.3446283315642864,1.7336528359192056,1.6898320166269374,1.449265400426575
OG0011186,SpisGene14891,3.3240776374501086,3.6850362578407574,3.614238544530176,2.2865758800297926,4.093656798572646,4.272631872631168,3.207846451603096,3.816554370374259,3.5964218788978095
OG0011187,SpisGene14008,0.4559479798988772,2.863736900898155,1.9462554750694327,0,0,3.2283903866003256,1.6558365475952752,0,0
OG0011188,SpisGene3717,3.860161638116121,4.496842599208019,4.655318670004555,4.442844526363846,6.517389564392324,4.538600750497853,2.895364409280216,4.182774848907717,2.7345835227025215
OG0011189,SpisGene227,4.507533881537469,4.303261826558802,4.794039031104132,2.6005485789844363,2.774170101551151,3.889846232983945,1.577566064239606,2.6755537990208302,1.4334721798313763
OG0011190,SpisGene1455,4.665726492896843,4.968107172261301,5.0420408973242585,4.3414367157984435,3.692207867876726,3.700245701126477,4.289910635534133,3.062056997609232,3.5508098572422853
OG0011191,SpisGene4225,1.6831644287776146,1.8575234404255208,1.989565293508124,1.1336164015723715,1.3929190196195025,2.067967705873783,0.7662322957269542,0.5871918618708348,1.310249163853528
OG0011192,SpisGene12145,5.776647852375169,5.502834124693587,5.599478878855924,7.17986149364051,6.951999256192908,6.854738225442054,5.578930360234513,5.53328638483503,5.469013777913623
OG0011193,SpisGene5807,5.647646440274637,5.955478736176692,6.007641350475783,6.217170525921327,5.325342186024027,5.901235397435679,4.774668060110025,5.976515778380787,5.012774919223704
OG0011194,SpisGene19958,3.7388685696480417,3.969988651145287,4.358184615435321,4.429209983239224,2.562606943063405,2.3572839598849007,1.2526443793142663,1.751568255401858,1.0688433769213337
