Orthogroup	Montipora_gene	Pocillopora_gene	Spis_gene
OG0002049	Montipora_capitata_HIv3___RNAseq.g15186.t1	Pocillopora_acuta_HIv2___RNAseq.g14120.t1	
OG0002050	Montipora_capitata_HIv3___RNAseq.g43986.t1a	Pocillopora_acuta_HIv2___RNAseq.g14579.t2	Spis19318
OG0002052	Montipora_capitata_HIv3___RNAseq.g27662.t1	Pocillopora_acuta_HIv2___RNAseq.g4177.t1	Spis6403
OG0002063	Montipora_capitata_HIv3___RNAseq.g8717.t1	Pocillopora_acuta_HIv2___RNAseq.g16276.t1	Spis6763
OG0002065	Montipora_capitata_HIv3___RNAseq.g44285.t1	Pocillopora_acuta_HIv2___RNAseq.g24037.t1	Spis116
OG0002071			
OG0002073	Montipora_capitata_HIv3___RNAseq.g18549.t1	Pocillopora_acuta_HIv2___RNAseq.g6722.t1	Spis5900
OG0002082	Montipora_capitata_HIv3___RNAseq.g3217.t1	Pocillopora_acuta_HIv2___RNAseq.g28872.t1	Spis7715.t1
OG0002083		Pocillopora_acuta_HIv2___TS.g18140.t3	
OG0002089			
OG0002092	Montipora_capitata_HIv3___RNAseq.g33152.t1	Pocillopora_acuta_HIv2___RNAseq.18888_t	Spis6520
OG0002098	Montipora_capitata_HIv3___TS.g45892.t1	Pocillopora_acuta_HIv2___RNAseq.g3103.t1	Spis20310.t1
OG0002104			
OG0002106			
OG0002111	Montipora_capitata_HIv3___RNAseq.g50089.t1	Pocillopora_acuta_HIv2___RNAseq.g2767.t1	
OG0002113	Montipora_capitata_HIv3___TS.g34999.t1	Pocillopora_acuta_HIv2___RNAseq.g10823.t1	Spis14030
OG0002118	Montipora_capitata_HIv3___RNAseq.g37339.t1	Pocillopora_acuta_HIv2___TS.g5801.t1a	
OG0002119			
OG0002125	Montipora_capitata_HIv3___TS.g3040.t2	Pocillopora_acuta_HIv2___RNAseq.g7849.t1	Spis19671
OG0002128	Montipora_capitata_HIv3___RNAseq.g46365.t1	Pocillopora_acuta_HIv2___RNAseq.g5033.t1	Spis10422
OG0002129	Montipora_capitata_HIv3___RNAseq.g4637.t1	Pocillopora_acuta_HIv2___RNAseq.g11796.t1	Spis1019
OG0002130	Montipora_capitata_HIv3___RNAseq.g35546.t2	Pocillopora_acuta_HIv2___RNAseq.g22820.t1	Spis1502
OG0002134	Montipora_capitata_HIv3___TS.g25848.t1	Pocillopora_acuta_HIv2___RNAseq.g21254.t1	Spis5020
OG0002136	Montipora_capitata_HIv3___TS.g46726.t2	Pocillopora_acuta_HIv2___TS.g3989.t1	Spis11674
OG0002137	Montipora_capitata_HIv3___RNAseq.g4901.t1	Pocillopora_acuta_HIv2___TS.g27234.t2	Spis6237
OG0002138	Montipora_capitata_HIv3___RNAseq.g37140.t1	Pocillopora_acuta_HIv2___RNAseq.g17666.t1	Spis19545
OG0002139	Montipora_capitata_HIv3___RNAseq.g8976.t1	Pocillopora_acuta_HIv2___RNAseq.g15975.t1	Spis7955
OG0002141	Montipora_capitata_HIv3___RNAseq.g7132.t1	Pocillopora_acuta_HIv2___RNAseq.g20815.t1	
OG0002152			
OG0002159			
OG0002160	Montipora_capitata_HIv3___RNAseq.g42239.t1	Pocillopora_acuta_HIv2___RNAseq.g12957.t1	Spis8775
OG0002161			
OG0002168			
OG0002172	Montipora_capitata_HIv3___TS.g27040.t4	Pocillopora_acuta_HIv2___RNAseq.g2245.t1	
OG0002174	Montipora_capitata_HIv3___RNAseq.g12760.t1	Pocillopora_acuta_HIv2___RNAseq.g24756.t1	Spis2399
OG0002175	Montipora_capitata_HIv3___RNAseq.g15011.t1	Pocillopora_acuta_HIv2___RNAseq.g13830.t1	Spis15831
OG0002178	Montipora_capitata_HIv3___RNAseq.g41684.t1		
OG0002180	Montipora_capitata_HIv3___RNAseq.33169_t	Pocillopora_acuta_HIv2___TS.g20782.t2	Spis1374
OG0002184	Montipora_capitata_HIv3___RNAseq.g11554.t1	Pocillopora_acuta_HIv2___RNAseq.g18036.t1	Spis9767
OG0002187	Montipora_capitata_HIv3___TS.g4504.t1	Pocillopora_acuta_HIv2___RNAseq.g2705.t1	Spis20880
OG0002190	Montipora_capitata_HIv3___TS.g38093.t1	Pocillopora_acuta_HIv2___TS.g25168.t1c	Spis19535
OG0002191			
