gene_id,AH1,AH2,AH3,AH4,AH5,AH6,AH7,AH8,AH9
Montipora_capitata_HIv3___RNAseq.g9584.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g37372.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g46457.t1,258,284,289,262,285,216,962,910,766
Montipora_capitata_HIv3___TS.g14984.t1,87,72,83,64,83,81,159,153,166
Montipora_capitata_HIv3___TS.g23215.t2,1151,1452,1689,1757,1544,1896,722,987,1244
Montipora_capitata_HIv3___RNAseq.g36609.t1,8,11,7,5,5,8,6,9,8
Montipora_capitata_HIv3___TS.g43357.t1,7,1,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g8518.t1,7,6,11,5,6,7,5,10,8
Montipora_capitata_HIv3___TS.g48744.t1,6,6,8,7,5,9,11,23,30
Montipora_capitata_HIv3___RNAseq.g29477.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g11507.t1,87,87,107,82,59,59,81,127,151
Montipora_capitata_HIv3___RNAseq.g30284.t1,0,0,0,0,0,3,0,0,0
Montipora_capitata_HIv3___RNAseq.g3356.t1,45,40,52,57,34,54,119,89,87
Montipora_capitata_HIv3___RNAseq.g6847.t1,730,832,841,876,749,831,67,154,312
Montipora_capitata_HIv3___RNAseq.g25695.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g48951.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g23395.t1,99,140,146,82,85,95,55,84,77
Montipora_capitata_HIv3___TS.g33501.t1,145,18,255,328,211,326,327,532,1042
Montipora_capitata_HIv3___RNAseq.g4507.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g8375.t1,16,20,19,16,14,14,1,8,16
Montipora_capitata_HIv3___RNAseq.g8368.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g13870.t1,69,88,63,72,119,54,116,108,294
Montipora_capitata_HIv3___RNAseq.g36857.t1,1688,1895,1952,2126,1850,2421,674,955,1047
Montipora_capitata_HIv3___RNAseq.g38048.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g46792.t1,7,13,7,9,4,11,2,1,1
Montipora_capitata_HIv3___TS.g40070.t1b,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g40070.t1c,6,3,5,10,10,6,34,42,50
Montipora_capitata_HIv3___RNAseq.g49498.t1,236,254,319,226,183,181,165,181,262
Montipora_capitata_HIv3___RNAseq.g28457.t1,3687,4309,4507,4847,3993,4595,304,427,762
Montipora_capitata_HIv3___RNAseq.g28485.t1,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g524.t1,393,498,517,471,377,452,96,189,202
Montipora_capitata_HIv3___RNAseq.g31360.t1,0,0,0,0,0,3,0,8,0
Montipora_capitata_HIv3___RNAseq.g16837.t1,0,0,0,0,2,0,0,0,0
