gene_id,SRR3051863,SRR3051864,SRR3051865,SRR3051866,SRR3051867,SRR3051868,SRR3051869,SRR3051870,SRR3051871
Pocillopora_acuta_HIv2___RNAseq.g10514.t1,131,176,228,100,86,111,235,233,189
Pocillopora_acuta_HIv2___RNAseq.30394_t,84,128,171,54,48,50,96,107,73
Pocillopora_acuta_HIv2___RNAseq.g25018.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g14394.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g22672.t1,178,278,345,0,16,0,27,49,35
Pocillopora_acuta_HIv2___RNAseq.g27440.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g6687.t1,0,22,25,646,613,642,1499,1225,1145
Pocillopora_acuta_HIv2___RNAseq.g5499.t1,83,135,124,57,95,81,109,79,51
Pocillopora_acuta_HIv2___RNAseq.g1524.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g10516.t1,191,231,276,83,96,122,267,292,293
Pocillopora_acuta_HIv2___RNAseq.g27461.t1,47,112,67,0,0,0,63,68,65
Pocillopora_acuta_HIv2___RNAseq.g18191.t1,3,5,3,6,6,8,3,9,8
Pocillopora_acuta_HIv2___RNAseq.1912_t,82,109,127,58,15,82,248,300,379
Pocillopora_acuta_HIv2___RNAseq.g31104.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g12586.t1,1,0,3,0,3,0,3,1,3
Pocillopora_acuta_HIv2___RNAseq.g7587.t1,552,852,754,851,735,843,533,612,529
Pocillopora_acuta_HIv2___TS.g5425.t1,0,0,1,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g1526.t1,114,171,144,112,127,120,104,114,106
Pocillopora_acuta_HIv2___RNAseq.g5813.t1,714,938,1294,171,154,335,496,593,529
Pocillopora_acuta_HIv2___RNAseq.g25183.t1,20,32,19,40,39,14,7,0,1
Pocillopora_acuta_HIv2___RNAseq.g21264.t1,530,521,767,4124,5055,2982,1127,1233,1209
Pocillopora_acuta_HIv2___RNAseq.g24900.t1,49,65,55,1405,270,763,4239,7132,3705
Pocillopora_acuta_HIv2___RNAseq.g18016.t1,0,3,2,0,0,4,283,129,263
Pocillopora_acuta_HIv2___TS.g12622.t1,0,0,0,0,0,0,3,0,0
Pocillopora_acuta_HIv2___RNAseq.g8237.t1,3,3,6,7,3,5,0,0,1
Pocillopora_acuta_HIv2___RNAseq.g1300.t1a,3,4,5,0,1,0,2,3,1
Pocillopora_acuta_HIv2___RNAseq.g10794.t1,77,75,90,74,74,93,107,71,63
Pocillopora_acuta_HIv2___TS.g10710.t2,781,1160,1317,514,553,564,723,735,597
Pocillopora_acuta_HIv2___TS.g15946.t1,18,9,21,39,28,59,565,1423,645
Pocillopora_acuta_HIv2___RNAseq.g7986.t1,57,89,119,47,60,229,709,704,652
Pocillopora_acuta_HIv2___RNAseq.g26169.t1,687,785,737,194,264,283,702,617,666
Pocillopora_acuta_HIv2___RNAseq.g24775.t1,5,22,12,6,0,0,26,16,20
Pocillopora_acuta_HIv2___TS.g25759.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___TS.g11040.t1,0,0,0,0,0,0,0,0,0
Pocillopora_acuta_HIv2___RNAseq.g28473.t1,0,8,6,0,0,0,4,5,0
Pocillopora_acuta_HIv2___TS.g8474.t1,31,38,40,8,0,0,10,11,0
Pocillopora_acuta_HIv2___TS.g12050.t1,69,91,61,624,784,340,255,171,178
Pocillopora_acuta_HIv2___RNAseq.g1499.t1,7,23,0,280,205,132,269,56,346
Pocillopora_acuta_HIv2___RNAseq.g21033.t1,163,222,232,110,194,113,140,116,99
